Age Rating,Label,Rating,Number of Descriptions,Descriptions
age 6+,"Sex, Romance & Nudity",1,18,"Some clingy but still appropriate clothing.; Budding affection continues to develop between Megamind and Roxanne.; Teenage crushes are mentioned in later episodes.; In the second short, Goofy uses some suggestive poses in a fashion show/photo sh; Infrequent mild innuendo.; Basic romantic relationships are featured, specifically Patrick's parents.; Tom and his girlfriend kiss and cuddle.; Subtle innuendo that will go over many kids' heads.; One main character has visible buttocks (that are featured prominently when he g; Some brief mentions of attraction and dating.; One very affectionate female snail often kisses her boyfriend, leaving lipstick; Some fleeting innuendo.; A few silly romantic plots, but nothing sexual.; Middle-school crushes are sweeter than they are sexy, yielding some flirting, fl; A recurring plot point is Link's persistence in his attempts to steal a kiss; The lead female character wears revealing clothing, including a specific type of; Female characters usually wear sexy or revealing outfits. There is some mild sex; Characters may sometimes express feelings for one another: ""She's prett"
age 6+,"Sex, Romance & Nudity",0,163,"No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; One plot line emphasizes the importance of attractiveness -- a woman needing to; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; A spawning scene shows a salmon laying her eggs to be fertilized by a male, who; No description found; No description found; No description found; No description found; No description found; Flint has a crush on his classmate Sam, who is mostly unaware of the attraction.; A character daydreams about one of his female companions.; No description found; No description found; No description found; No description found; No description found; No description found; No description found; Oh's naked backside is visible in a scene.; No description found; No description found; Some attraction among the teen cast, but nothing more than flirting.; No description found; No description found; No description found; No description found; No description found; Kids have crushes and get swoony around the opposite sex. In one scene, Dolla da; No description found; No description found; Kyle has a crush on a female classmate and swoons when she comes around. He ment; No description found; No description found; Puss is known as a lover and has a soft spot for the ladies, but physical contac; No description found; No description found; Angela has feminine curves and doe eyes to make her alluring. She and Tom are a; No description found; No description found; No description found; No description found; No description found; Some talk about boyfriends and girlfriends.; No description found; No description found; No description found; Some very tame flirting between tweens.; No description found; No description found; No description found; No description found; No description found; No description found; Occasional innocent references to romance.; No description found; No description found; No description found; No description found; No description found; No description found; In one episode, Ricky prepares for a screen kiss by kissing a basketball. His ri; No description found; Storylines occasionally call for brief kisses between folk tale characters, who; Occasional mention of crushes between students, but that's as far as it goes.; Adult characters occasionally engage in very mild flirting.; No description found; No description found; Occasional flirting between students.; Some female characters wear tight outfits that show some belly, and the mom dons; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; Some very mild flirting between two characters with an innocent crush on each ot; No description found; No description found; No description found; No description found; No description found; No description found; No description found; As is typical with anime, female characters wear short skirts, breast-enhancing; No description found; No description found; No description found; No description found; Secret Squirrel villains stick their hands down their pants; underwear is used a; No description found; No description found; No description found; Bobby's sister Kelly is obsessed with her boyfriend and talks about him all the; No description found; At least one of the ponies is very concerned with love and romance, and often re; No description found; No description found; No description found; No description found; No description found; Nothing untoward, but characters' outfits often reveal plenty of leg. Characters; The heroine (in the grand tradition of action heroines) is scantily clad. Actual; No description found; No description found; No description found"
age 6+,"Sex, Romance & Nudity",2,4,Some mild jokes that will go over many kids' heads (like a character thinking it; Mentions of love and dating; some jokes that will go over kids' heads.; A male character is gobsmacked by the muscular chest and abs of a shirtless Kylo; Varies from short to short -- some contain nothing but one contains a brief kiss
age 6+,Language,0,134,"No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; Some threats, but they're all said in light, silly tone of voice.; No description found; No description found; No description found; ""Oh my God"" on occasion.; No description found; No description found; No description found; Rarely ""butt.""; No description found; Rare name-calling like ""dorka"" and ""nerdy.""; No description found; No description found; No description found; Occasionally ""stupid"" and ""dumb.""; There's some trash-talking when the Trolls compete against the Bergens in a spor; Rarely name-calling like ""jerk"" and battle talk like ""kick that b; No description found; No description found; ""Stupid"" (rarely).; No description found; Name-calling like ""sack of drool"" (rarely).; No description found; No description found; No description found; No description found; Rarely ""stupid.""; Rarely ""stupid.""; Rarely name-calling like ""losers.""; No description found; The occasional ""what the ... "" and some light bullying from a group of classroom; No description found; No description found; Potty humor includes recurring incidents of Chunk's flatulence.; Some gross-out humor, including farting and boogers.; Some body-related humor such as vomiting and farting noises.; No description found; Occasionally ""stupid,"" ""shut up,"" and name-calling such as ""idiot.""; Name-calling such as ""loser boy.""; No description found; No description found; No description found; Occasionally ""butt.""; No description found; No description found; No description found; Some name-calling such as ""bozo.""; No cursing, but name-calling such as ""dolt"" and ""blockhead.""; Rarely ""stupid.""; No description found; Occasional name-calling like ""meathead.""; Characters use insults such as ""stupid.""; Name-calling such as ""jerk"" and ""fool,"" plus ""butt.""; Rarely ""dang."" Some potty humor including farting noises.; There's no cursing, but you'll hear some playground-style talk like ""well, duh,""; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; The phrase ""kick butt"" is used at least once.; No description found; No description found; Name-calling (like ""idiot"") is as bad as it gets, and even that's rare.; No description found; Occasional name-calling like ""pipsqueak,"" ""shorty,"" or ""weasel.""; Some potty talk like ""stupid"" and ""barf,"" but no curse words of any sort.; Playground talk like ""kick your butt"" is rare.; In the theme song, there's a line that makes it sound like the next word might b; No description found; No description found; Very rare name-calling is limited to mild words like “freak.”; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; Occasional name-calling like ""twerp"" and ""knucklehead.""; No description found; No description found; No description found; Some name calling from Angelica, such as ""You dumb babies.""; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; Given the show's origins in the '60s, it's hard to avoid some dated,; No description found; No description found"
age 6+,Language,2,7,"Mild taunts like ""slow pokes"" and competitive banter (""you just got burned"") are; ""Let's kick some Kaiju heinie."" ""Shiny, get your big red butt back here.""; Body humor, mild language like ""butt,"" and regular put-downs include phrases suc; Mild verbal hostility from mean characters, including threats. Some cursing-adja; Angelica is the queen of rude hostilities -- calling the babies insults like ""yo; No actual swear words, but the ""Ducky and Bunny"" shorts include some insult-esqu; Characters often put each other down jokingly: ""You're like school in s"
age 6+,Language,1,39,"Mild verbal teasing, some use of insults like ""butt,"" ""dang,"" and ""dumb.""; Light name-calling with terms like ""scoundrel.""; Simple expressions of dislike between characters.; Lead character uses the word ""stupid"" to demonstrate frustration.; Some brief expressions of negative feelings between characters.; Characters verbally and physically threaten one another. Many insults, like ""stu; ""Loser,"" ""big butt,"" ""jerks,"" ""blockhead.""; Some bullying language – for example, students at school make fun of Onari's dad; Two instances of very mild name-calling: ""Wrong locker, doofus!"" and ""liver girl; The siblings get frustrated with each other and aren't always nice. The SlobbyKi; Pony is flatulent in each episode.; Insults and negative language. No actual curse words, but some cursing-adjacent; Some mild expressions of dislike and mistrust between troll tribes. Also, potty; Mild potty humor like ""butt.""; Insults like ""stupid"" and ""dumb"" usually are directed at objects or events rathe; Infrequent language includes ""butt,"" ""stupid,"" ""hate,"" and ""poop.""; No swearing, but adults occasionally talk down to kids. (Mr. Vanderbooz tells Mi; Multiple uses of ""butt."" A character's favorite exclamation is ""holy underpants!; Name-calling like ""tattletale"" and ""loser."" Generally antagonistic language betw; No cursing, but some sound-alikes, including ""What the barf is this?"" and ""Oh, c; ""Butt,"" plus name-calling such as ""stupid"" and ""big, du; ""Stupid,"" name-calling such as ""maggot,"" and ""sucks.&qu; No cursing, but some name-calling like ""tool bags,"" ""jerk,""; Characters call each other names like ""moron"" and use ""butt"" infrequently.; Very minor innuendo that will likely go over the head of the youngest kids (ex.; No cursing, but occasional instances of ""Oh, my God"" and ""butt"" and name-calling; Some trash talking, but nothing more serious than “Hey, Roachboy!”; Cheeky words like ""booty"" are as bad as it gets.; Characters may mildly chide each other (""You're being very foolish!&quo; Occasional crude language, but nothing more serious than ""butt ugly.""; Name-calling such as ""idiot"" and ""chump,"" plus ""you suc; Words such as ""stupid,"" ""idiot.""; There's no profanity, but a surprising amount of insults and teasing words for a; Some name calling, mostly puns relating to an enemy’s appearance or unique power; Nothing salty, but the class bully often calls his peers ""losers,"" ""idiots,"" ""mo; No cursing, but a lot of insults: ""Dork!"" ""Loser!"" Bobby's brother Derek says so; Ganon is known to call his minions names such as ""idiot."" ""Shut u; Some mild name calling, like ""silly face.""; Some hostile language such as ""puny ones."" Also plenty of catchphrases such as """
age 6+,Language,3,5,"The bugs taunt each other, saying things like ""Who the heck are you stinkbugs?""; Mild insult language, ""that's so lame"", calling someone a ""monkey,"" etc.; Some mildly rude language like ""butt"" and a few instances where characters put e; Words like ""stupid"" and ""idiot"" are used casually (just look; Regular use of threatening language like, ""over my dead body"" and ""now you're go"
age 6+,"Drinking, Drugs & Smoking",0,180,"No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; Padres y cuidadores: establezcan límites para la presencia de alcohol, drogas y; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; A bar serves frothy drinks, but they're never identified as beer.; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; The penguins are often shown sipping tropical concoctions -- but they're non-alc; No description found; No description found; No description found; No description found; No description found; No description found; No description found; In one tale, a man dies after falling victim to the devil's plan to get him; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found; No description found"
age 6+,"Drinking, Drugs & Smoking",1,3,"Half-drunk glasses of wine stand among the human's leftovers. The people clink w; No actual substances are consumed in the show, but there are very occasional jok; At least one episode specifically deals with drug abuse, showing how it can dama"
age 6+,"Drinking, Drugs & Smoking",3,1,Villains in Secret Squirrel segments smoke.
age 6+,Positive Messages,4,20,"Positive messages around kids not being too young to make a difference, persever; The series promotes self-belief, perseverance (""Challenge Accepted""), the power; Emphasizes facing your fears, helping friends, and dealing with anxiety through; Change is good. Teamwork makes the dream work. It's OK to give someone a second; Characters are kind and have compassion for one another. They also have a lot of; The characters tackle problem-solving with a positive attitude, creativity, and; ""What could be more Christmas-y than giving to others?"" The special warns viewer; Hilda's sense of curiosity inspires many adventures in which she befriends unusu; Kids see Craig and his friends immerse themselves in a world of make-believe tha; The story promotes respect for nature by showing viewers how different species l; The idea that courage and heroism is unrelated to a person's physical appear; Dorothy is met with obstacle after obstacle, yet she never really gets down. She; Positive messages include valuing inner beauty, creative problem solving, admitt; Recurring themes in the stories include standing up for what's right, relating t; The kung fu masters value honesty, teamwork, patience, forgiveness, and loyalty,; The show encourages respect for animals and touches on concepts such as endanger; Kids learn the value of nutritional diversity by way of the show's creative; The show promotes positive social messages/themes such as friendship, loyalty, a; Shows always revolve around some type of positive lesson, i.e. stealing is wrong; Courage and teamwork are primary themes throughout. Protecting others and helpin"
